"XSC","XTE","XSL","XPH","XHE","XAG","XEN","XCI","XAD","XDR","YEA","x","average","y"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2020/01/01","0.9","1.2908","214"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2020/01/01","1.1","1.2908","2675"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2020/01/01","1.3","1.2908","4722"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2020/01/01","1.5","1.2908","2275"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2020/01/01","1.7","1.2908","114"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2030/01/01","0.9","1.4983","24"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2030/01/01","1.1","1.4983","435"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2030/01/01","1.3","1.4983","2630"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2030/01/01","1.5","1.4983","3818"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2030/01/01","1.7","1.4983","2446"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2030/01/01","1.9","1.4983","590"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2030/01/01","2.1","1.4983","57"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2040/01/01","0.9","1.6899","1"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2040/01/01","1.1","1.6899","74"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2040/01/01","1.3","1.6899","813"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2040/01/01","1.5","1.6899","2567"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2040/01/01","1.7","1.6899","3249"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2040/01/01","1.9","1.6899","2198"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2040/01/01","2.1","1.6899","843"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2040/01/01","2.3","1.6899","226"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2040/01/01","2.5","1.6899","28"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2040/01/01","2.7","1.6899","1"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2050/01/01","1.1","1.8787","30"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2050/01/01","1.3","1.8787","255"
"RFF-SPs","FAIR","BRICK","Fung","Cromar","Moore","Clarke","Diaz","Rennert et al.","2%","2050/01/01","1.5","1.8787","1247"
